FCK,"F.C. København",W
FCM,"FC Midtjylland",C
BIF,"Brøndby IF",""
AaB,"Aalborg BK",""
RFC,"Randers FC",""
SIF,"Silkeborg IF",""
VFF,"Viborg F.F.",""
AGF,"Aarhus Gymnastikforening",""
OB,"Odense Boldklub",""
FCN,"FC Nordsjælland",""
VB,"Vejle Boldklub",P
SønderjyskE,"Sønderjysk Elitesport",P
FCF,"FC Fredericia",R
FCH,"FC Helsingør",R
FA,"Fremad Amager",""
HKB,"HB Køge",""
HIF,"Hvidovre IF",""
HIK,"Hobro IK Fodbold",""
NFC,"Nykøbing FC",""
ACH,"AC Horsens",""
EfB,"Esbjerg fB",""
LBK,"Lyngby Boldklub",""
VeFF,"Vendsyssel FF",P
JFC,"Jammerbugt FC",P
